accepted,buyer_id,provider_id,utility
True,0,7,8.050152202044409
True,1,7,8.497619096998248
True,2,7,7.811794754945885
True,3,7,7.791594684116354
True,4,7,8.308168558003894
True,5,7,8.316342488311909
True,6,7,8.104351465080018
True,7,7,8.310035871327772
True,8,7,8.319560235665852
True,9,7,6.1449244132829834
True,10,7,8.207911857299052
True,11,7,7.088516453042484
True,12,7,6.896110552802683
False,13,18446744073709551615,-100.0
True,14,7,7.241317915809778
False,15,18446744073709551615,-100.0
True,16,7,8.369294075279615
True,17,7,5.892193155643097
True,18,7,7.990664580180796
True,19,7,8.305426922945902
